zone_id,zone_name,area_id,area_name
9d7ee817-709e-46ef-8c31-e1988bb3ba4d,Abbas El Akkad,3749583e-2224-11e8-924e-0242ac110011,Nasr City 3
0939f91e-2ee8-4b66-b772-6562bfb1ec93,Dokki,374938a7-2224-11e8-924e-0242ac110011,Dokki
7949dafc-35e8-41b8-b9f5-43b1a10c6481,Zamalek,3749608b-2224-11e8-924e-0242ac110011,Zamalek
dfe492a2-b0c7-4475-875e-6ccae8130e82,Baron,37494698-2224-11e8-924e-0242ac110011,Heliopolis old
214f9a4c-39b5-4784-8c4f-b3c6eaaa4f42,Corniche El Maadi,37494956-2224-11e8-924e-0242ac110011,Maadi old
431a58aa-5fb7-4e73-8d97-0dd170312746,Al Rehab City,37492e9c-2224-11e8-924e-0242ac110011,Al Rehab City
61115200-b5de-11e8-9ecc-0a5864600cf9,Semouha,374b1ab7-2224-11e8-924e-0242ac110011,Semouha
5044af39-878b-4b50-8bb3-8ef7534418fd,Helwan,374976dd-2224-11e8-924e-0242ac110011,Helwan2
843b991c-ab8a-4966-9249-5555719eafd6,District 1,3749204e-2224-11e8-924e-0242ac110011,6th of October old
87b81eeb-74c3-407c-b840-47ad1646fa2e,Ain Shams,9fd93ea0-8d53-4d81-9ef8-172419ca7b71,Ain Shams
04e0cb08-fc6b-11e8-bbd8-0a586460020d,Downtown - Banks Center,37495b0b-2224-11e8-924e-0242ac110011,New Cairo old
f967850c-8cee-43d1-94a7-731adf5a9bc8,Ard El Lewa,3749518e-2224-11e8-924e-0242ac110011,Mohandessin
2851287c-1584-43a6-9979-38eb34fe7c41,Masaken Sheraton,37494ece-2224-11e8-924e-0242ac110011,Masaken Sheraton
42dc9256-fe27-42cc-a09c-95c70042ed93,Obour,37495dca-2224-11e8-924e-0242ac110011,Obour
4769100a-29a0-4232-8ae8-dc25bd129231,New Maadi,37494956-2224-11e8-924e-0242ac110011,Maadi old
fa681a9c-fc6a-11e8-bbd8-0a586460020d,Shiekh Zayed Districts,374b841a-2224-11e8-924e-0242ac110011,Sheikh Zayed
93abf752-a3a6-11e8-b2ca-0242ac110002,Gesr El Suez,93a69936-a3a6-11e8-b2ca-0242ac110002,Gesr El Suez
d7074e43-117b-439a-b4c0-6f117725a1a7,Abdeen,37493b8a-2224-11e8-924e-0242ac110011,Downtown
eea56e5e-4e48-49ce-bd9e-d38435d6e82c,Mohandesin,3749518e-2224-11e8-924e-0242ac110011,Mohandessin
6213c96c-b5de-11e8-9ecc-0a5864600cf9,Sidi Gaber,374b22a0-2224-11e8-924e-0242ac110011,Sidi Gaber
619f5080-56df-4972-bc54-0b0168455137,El Zaytoun,37494698-2224-11e8-924e-0242ac110011,Heliopolis old
e513295a-06f4-4721-b111-af7990d973df,Makram Ebeid,3749583e-2224-11e8-924e-0242ac110011,Nasr City 3
3d7712ce-dec3-41a9-a7f1-fc47091b6355,Zahraa El Maadi,37494956-2224-11e8-924e-0242ac110011,Maadi old
5fd70a9a-51e5-4465-be47-2790a4ff4713,Hadayek El Kobba,37497425-2224-11e8-924e-0242ac110011,Hadayek El Kobba
cc40875c-d89d-4cb6-97a8-000a40b18149,Sarayat El Maadi,37494956-2224-11e8-924e-0242ac110011,Maadi old
dab2d2c9-8411-4d9d-ac32-115851f3b550,Almaza,37494698-2224-11e8-924e-0242ac110011,Heliopolis old
e7e3dde9-5b94-11e9-b729-0a58646003b7,New Minya,e7e366e4-5b94-11e9-b729-0a58646003b7,New Minya
e2c1beb5-3297-11e9-bd51-0a586460030a,New Damietta,e2c14c16-3297-11e9-bd51-0a586460030a,New Damietta
7dbc1040-ddca-11e8-b580-0a5864600c51,City Stars,3749583e-2224-11e8-924e-0242ac110011,Nasr City 3
a2786b8f-b5de-11e8-9ecc-0a5864600cf9,Naama Bay,374b7a68-2224-11e8-924e-0242ac110011,Naama Bay
01795345-fc6b-11e8-bbd8-0a586460020d,AUC,37495b0b-2224-11e8-924e-0242ac110011,New Cairo old
e2aca9c4-3297-11e9-bd51-0a586460030a,Port Fouad,e2ac6379-3297-11e9-bd51-0a586460030a,Port Fouad
e2d60cbb-3297-11e9-bd51-0a586460030a,El Geish Street (El Bahr ),e2d59a47-3297-11e9-bd51-0a586460030a,El Helw St.
5e988b33-b5de-11e8-9ecc-0a5864600cf9,Miami,3749a0ff-2224-11e8-924e-0242ac110011,Miami
0515e9f6-fc6b-11e8-bbd8-0a586460020d,Fifth Settlement - Fifth Neighbourhood,37495b0b-2224-11e8-924e-0242ac110011,New Cairo old
5fa6d03a-b5de-11e8-9ecc-0a5864600cf9,Al Raml Station,374b10c1-2224-11e8-924e-0242ac110011,Al Raml Station
74f080a7-b1e4-4a0b-a91a-31a71bec3657,Degla Maadi,37494956-2224-11e8-924e-0242ac110011,Maadi old
b55dba60-58e8-423a-90d7-839d104c0cf2,Shoubra,37497f03-2224-11e8-924e-0242ac110011,Shoubra
52b173e8-3a17-4459-a7f3-319a1cb4d061,First Settlement,37495b0b-2224-11e8-924e-0242ac110011,New Cairo old
0874effe-fc6b-11e8-bbd8-0a586460020d,GUC- Arabella- West Arabella,37495b0b-2224-11e8-924e-0242ac110011,New Cairo old
189f7de7-f96a-4855-9430-d82c1429cb18,Manial,37494c0d-2224-11e8-924e-0242ac110011,Manial
930696ca-7069-4247-9e73-7e4ccf2978b4,Abbassiya,3749633f-2224-11e8-924e-0242ac110011,Abbassiya
